0,27.0,11.0
1,38.0,13.0
2,50.0,20.0
3,47.0,19.0
4,58.0,19.0
5,29.0,10.0
6,44.0,17.0
7,35.0,13.0
8,44.0,18.0
9,28.0,13.0
10,35.0,12.0
11,36.0,15.0
12,41.0,14.0
13,62.0,21.0
14,37.0,14.0
15,29.0,10.0
16,45.0,18.0
17,20.0,8.0
18,48.0,17.0
19,37.0,13.0
20,31.0,13.0
21,32.0,13.0
22,30.0,10.0
23,36.0,12.0
24,28.0,9.0
25,61.0,20.0
26,40.0,15.0
27,67.0,22.0
28,32.0,12.0
29,25.0,11.0
30,28.0,11.0
31,47.0,16.0
32,38.0,16.0
33,57.0,22.0
34,37.0,15.0
35,29.0,10.0
36,34.0,11.0
37,49.0,15.0
38,62.0,22.0
39,38.0,12.0
40,44.0,14.0
41,45.0,19.0
42,42.0,16.0
43,46.0,14.0
44,50.0,17.0
45,23.0,9.0
46,39.0,14.0
47,49.0,19.0
48,31.0,10.0
49,43.0,17.0
50,29.0,12.0
51,38.0,14.0
52,39.0,15.0
53,44.0,14.0
54,21.0,7.0
55,43.0,14.0
56,42.0,15.0
57,42.0,15.0
58,43.0,17.0
59,45.0,17.0
60,45.0,17.0
61,28.0,11.0
62,54.0,20.0
63,38.0,16.0
64,46.0,16.0
65,49.0,16.0
66,45.0,17.0
67,35.0,14.0
68,76.0,26.0
69,41.0,15.0
70,39.0,16.0
71,41.0,13.0
72,15.0,7.0
73,51.0,20.0
74,29.0,11.0
75,30.0,13.0
76,31.0,11.0
77,11.0,4.0
78,42.0,14.0
79,47.0,20.0
80,35.0,13.0
81,46.0,16.0
82,25.0,11.0
83,36.0,12.0
84,43.0,17.0
85,26.0,11.0
86,40.0,14.0
87,32.0,10.0
88,43.0,18.0
89,42.0,13.0
90,42.0,14.0
91,36.0,14.0
92,30.0,13.0
93,63.0,22.0
94,33.0,14.0
95,44.0,16.0
96,43.0,15.0
97,47.0,15.0
98,41.0,16.0
99,22.0,10.0
