0,30.0,11.0
1,37.0,13.0
2,50.0,20.0
3,54.0,19.0
4,51.0,19.0
5,26.0,10.0
6,48.0,17.0
7,40.0,13.0
8,49.0,18.0
9,33.0,13.0
10,33.0,12.0
11,42.0,15.0
12,42.0,14.0
13,48.0,21.0
14,38.0,14.0
15,29.0,10.0
16,54.0,18.0
17,25.0,8.0
18,50.0,17.0
19,36.0,13.0
20,32.0,13.0
21,32.0,13.0
22,28.0,10.0
23,33.0,12.0
24,22.0,9.0
25,59.0,20.0
26,42.0,15.0
27,61.0,22.0
28,32.0,12.0
29,32.0,11.0
30,29.0,11.0
31,49.0,16.0
32,41.0,16.0
33,63.0,22.0
34,43.0,15.0
35,25.0,10.0
36,28.0,11.0
37,44.0,15.0
38,59.0,22.0
39,31.0,12.0
40,45.0,14.0
41,50.0,19.0
42,41.0,16.0
43,37.0,14.0
44,46.0,17.0
45,25.0,9.0
46,38.0,14.0
47,48.0,19.0
48,30.0,10.0
49,46.0,17.0
50,35.0,12.0
51,36.0,14.0
52,43.0,15.0
53,38.0,14.0
54,23.0,7.0
55,35.0,14.0
56,43.0,15.0
57,43.0,15.0
58,51.0,17.0
59,46.0,17.0
60,46.0,17.0
61,27.0,11.0
62,56.0,20.0
63,41.0,16.0
64,48.0,16.0
65,41.0,16.0
66,47.0,17.0
67,40.0,14.0
68,73.0,26.0
69,42.0,15.0
70,48.0,16.0
71,36.0,13.0
72,19.0,7.0
73,54.0,20.0
74,29.0,11.0
75,31.0,13.0
76,28.0,11.0
77,9.0,4.0
78,42.0,14.0
79,58.0,20.0
80,36.0,13.0
81,42.0,16.0
82,30.0,11.0
83,36.0,12.0
84,47.0,17.0
85,28.0,11.0
86,41.0,14.0
87,28.0,10.0
88,49.0,18.0
89,36.0,13.0
90,37.0,14.0
91,40.0,14.0
92,37.0,13.0
93,60.0,22.0
94,39.0,14.0
95,47.0,16.0
96,41.0,15.0
97,46.0,15.0
98,46.0,16.0
99,29.0,10.0
