" GOSIER"
"PERPIGNAN POLYGONE"
"PERPIGNAN SAINT ASSISCLE"
"PERPIGNAN SANT VICENS"
"Persan"
"PERTUIS"
"PESSAC"
"PETIT-BOURG - GOYAVE"
"PEZENAS"
"PIERRELATTE"
"PITHIVIERS"
"PLAINE ORIENTALE"
"Plaisir"
"PLOERMEL"
"POINTE A PITRE BERGEVIN"
"Poissy"
"POITIERS-GARE"
"POITIERS-GRAND LARGE"
"PONT A MOUSSON"
"PONT DE CLAIX"
"PONT-AUDEMER"
"PONT-L'ABBE"
"PONTARLIER"
"Pontault-Combault"
"PONTCHARRA"
"PONTIVY"
"PORNIC"
"PORT LOUIS"
"PORTET SUR GARONNE"
"PORTO VECCHIO"
"PRADES"
"PRIVAS"
"Provins"
"Puteaux"
"QUIMPER NORD"
"QUIMPER SUD"
"QUIMPERLE"
"Rambouillet"
"RAVINE DES CABRIS"
"REDON"
"REIMS BEZANNES"
"REIMS JEANNE D'ARC"
"REIMS LA NEUVILLETTE"
"REIMS MONT D'ARENE"
"REMIREMONT"
"RENNES CENTRE"
"RENNES EST"
"RENNES NORD"
"RENNES OUEST"
"RENNES SUD"
"RETHEL"
"REVIN"
"REZE"
"RILLIEUX LA PAPE"
"RIOM"
"RIVE DE GIER"
"RIVIERE SALEE"
"ROANNE"
"ROCHEFORT"
"RODEZ"
"ROMANS SUR ISERE"
"ROMILLY-SUR-SEINE"
"ROMORANTIN-LANTHENAY"
"Rosny-sous-Bois"
"ROUBAIX CENTRE"
"ROUBAIX LES PRES"
"ROUEN AUBETTE"
"ROUEN BEAUVOISINE"
"ROUEN LUCILINE"
"ROUEN MAROMME"
"ROUEN QUEVILLY"
"ROUEN SAINT SEVER"
"ROUEN ST ETIENNE DU ROUVRAY"
"ROUSSILLON"
"ROYAN"
"Rueil-Malmaison"
"SABLE SUR SARTHE"
"SAINT AMAND MONTROND"
"SAINT ANDRE"
"SAINT BENOIT"
"SAINT CHAMOND"
"SAINT CLAUDE"
"SAINT CYR SUR LOIRE"
"SAINT DENIS REUNION"
"SAINT DIE DES VOSGES"
"SAINT FLOUR"
"SAINT FONS"
"SAINT FRANCOIS"
"SAINT GAUDENS"
"SAINT GIRONS"
"SAINT JEAN D ANGELY"
"SAINT JEAN DE LUZ"
"SAINT JEAN DE MAURIENNE"
"SAINT JOSEPH"
"SAINT LEU REUNION"
"SAINT LO"
"SAINT LOUIS"
"SAINT MARTIN"
"SAINT MARTIN D'HERES"
"SAINT MAXIMIN"
"SAINT PAUL LES DAX"
"SAINT PAUL REUNION"
"SAINT PIERRE"
"SAINT PIERRE DES CORPS"
"SAINT PIERRE REUNION"
"SAINT PRIEST"
"SAINT QUENTIN"
"SAINT RAPHAEL"
"SAINT SEBASTIEN"
"SAINT VINCENT DE TYROSSE"
"SAINT-AMAND-LES-EAUX"
"SAINT-ASTIER"
"SAINT-AVOLD"
"SAINT-BRIEUC OUEST"
"SAINT-BRIEUC SUD"
"Saint-Denis"
"SAINT-DIZIER"
"Saint-Germain-en-Laye"
"Saint-Gratien"
"SAINT-JEAN"
"SAINT-MALO"
"SAINT-MARTIN-BOULOGNE"
"Saint-Maur-des-Fosses"
"SAINT-MEDARD-EN-JALLES"
"Saint-Ouen"
"Saint-Ouen-l'Aumône"
"SAINTE CLOTILDE"
"SAINTE MARIE REUNION"
"SAINTE ROSE"
"Sainte-Geneviève-des-Bois"
"SAINTE-MARIE"
"SAINTES SAINT GEORGES"
"SALLANCHES"
"SALON DE PROVENCE"
"Sarcelles"
"SARLAT"
"SARREBOURG"
"SARREGUEMINES"
"Sartrouville"
"SAUMUR"
"SAVERNE"
"Savigny-le-Temple"
"Savigny-sur-Orge"
"SCENES ET IMAGES"
"SCHILTIGHEIM"
"SCHOELCHER MADIANA"
"SECLIN"
"SEDAN"
"SEGRE"
"SELESTAT"
"SENS"
"SETE"
"Sevran"
"SEYNOD"
"SEZANNE"
"SIN LE NOBLE"
"SIX FOURS"
"SOISSONS"
"SOMAIN"
"SOUILLAC"
"ST ETIENNE BELLEVUE"
"ST ETIENNE CHATEAUCREUX"
"ST ETIENNE CLAPIER"
"ST ETIENNE TECHNOPOLE"
"ST GILLES CROIX DE VIE"
"ST HERBLAIN"
"ST JUNIEN"
"ST LAURENT DU MARONI"
"ST LOUIS BEL AIR"
"ST NAZAIRE"
"ST YRIEIX"
"ST-PIERRE D'OLERON"
"Stains"
"STRASBOURG DANUBE"
"STRASBOURG HAUTEPIERRE"
"STRASBOURG MEINAU"
"STRASBOURG PONT MATTHIS"
"STRASBOURG SEYBOTH"
"Sucy-en-Brie"
"TARARE"
"TARBES ARSENAL"
"TARBES PYRENEES"
"TASSIN LA DEMI LUNE"
"Taverny"
"TERRASSON"
"THANN"
"THIERS"
"THIONVILLE BRGD"
"THIONVILLE MANOM"
"THOIRY"
"THONON LES BAINS"
"THOUARS"
"TIGNIEU JAMEYZIEU"
"TOUL"
"TOULON FOCH"
"TOULON LA RODE"
"TOULOUSE BELLEFONTAINE"
"TOULOUSE BORDEROUGE"
"TOULOUSE CARTOUCHERIE"
"TOULOUSE HIPPODROME"
"TOULOUSE JOLIMONT"
"TOULOUSE LA PLAINE"
"TOULOUSE ST-MICHEL"
"TOURCOING"
"TOURNON SUR RHONE"
"TOURS DEUX LIONS"
"TOURS RONSARD"
"Trappes"
"Tremblay-en-France"
"TREVOUX"
"TRIGNAC"
"TROYES CENTRE GARE"
"TROYES LA CHAPELLE ST LUC"
"TULLE"
"VALENCE BRIFFAUT"
"VALENCE VICTOR HUGO"
"VALENCIENNES"
"VANDOEUVRE LES NANCY"
"VANNES EST"
"VANNES OUEST"
"VAULX EN VELIN"
"VAUVERT"
"VENDOME"
"VENISSIEUX"
"VERDUN"
"VERNEUIL SUR AVRE"
"VERNON"
"VERNOUILLET"
"Versailles"
"VERVINS"
"VESOUL"
"VICHY"
"VIENNE"
"VIERZON"
"VILLEFONTAINE"
"VILLEFRANCHE DE LAURAGAIS"
"VILLEFRANCHE DE ROUERGUE"
"VILLEFRANCHE SUR SAONE"
"Villejuif"
"VILLENAVE D ORNON"
"VILLENEUVE D'ASCQ"
"VILLENEUVE LES AVIGNON"
"VILLENEUVE SUR LOT"
"Villeneuve-Saint-Georges"
"VILLEURBANNE"
"Vincennes"
"VIRE"
"Viry-Châtillon"
"VITRE"
"VITROLLES"
"VITRY-LE-FRANCOIS"
"Vitry-sur-Seine"
"WATTRELOS"
"WISSEMBOURG"
"Yerres"
"YVETOT"
